Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;1952;p93p94;47336.2367977;69903.0153785;;;68084.640625;0.0228021443;0.0228021443;46104.8867188
;IN;1952;p94p95;50811.8738746;75035.6057252;;;72616.9609375;0.0244763792;0.0244763792;49174.0390625
;IN;1952;p95p96;55578.423861;82074.5306491;;;78824.5390625;0.0267724544;0.0267724544;53377.625
;IN;1952;p96p97;61797.8579531;91258.9784718;;;86721.6953125;0.0297683924;0.0297683924;58725.34375
;IN;1952;p97p98;71388.8047817;105422.25272;;;98094.4765625;0.0343884081;0.0343884081;66426.65625
;IN;1952;p98p99;89772.968643;132570.766756;;;117731.789062;0.0432441682;0.0432441682;79724.453125
;IN;1952;p1p100;20962.5244308;30956.06594;15.4463729858;15.4463729858;2004.09936523;0.9996793866;0.9996793866;1357.11633301
;IN;1952;p2p100;21155.6917616;31241.322644;7.13875341415;7.13875341415;4376.29931641;0.9987004995;0.9987004995;2963.49951172
;IN;1952;p3p100;21342.5768894;31517.3022075;6.25408220291;6.25408267975;5039.4765625;0.9972419739;0.9972419739;3412.58325195
;IN;1952;p4p100;21528.6070658;31792.0192353;5.73044729233;5.73044681549;5547.91259766;0.9955638647;0.9955638647;3756.88085938
;IN;1952;p5p100;21714.8962739;32067.118784;5.34201622009;5.34201622009;6002.81201172;0.9937183857;0.9937183857;4064.92529297
;IN;1952;p6p100;21901.8977058;32343.2700975;5.05143642426;5.05143642426;6402.78662109;0.9917256832;0.9917256832;4335.77636719
;IN;1952;p7p100;22089.9842582;32621.023845;4.84561300278;4.84561347961;6732.07324219;0.9896014333;0.9896014333;4558.75927734
;IN;1952;p8p100;22279.7239208;32901.2187961;4.64053487778;4.64053487778;7089.96289062;0.9873692393;0.9873692393;4801.11132812
;IN;1952;p9p100;22470.995785;33183.6764009;4.49989843369;4.49989843369;7374.31689453;0.9850214124;0.9850214124;4993.66748047
;IN;1952;p10p100;22664.5039783;33469.4364682;4.34693813324;4.3469376564;7699.54345703;0.9825862646;0.9825862646;5213.90087891
;IN;1952;p11p100;22859.0461981;33756.7235172;4.11101341248;4.11101341248;8211.29003906;0.9800090194;0.9800090194;5560.44091797
;IN;1952;p12p100;23053.673427;34044.136102;3.85673093796;3.85673093796;8827.20019531;0.9772479534;0.9772479534;5977.51660156
;IN;1952;p13p100;23247.8481376;34330.8804378;3.63077688217;3.63077712059;9455.51855469;0.974280417;0.974280417;6402.99560547
;IN;1952;p14p100;23441.9775508;34617.5578815;3.47689008713;3.47689008713;9956.47167969;0.9711239338;0.9711239338;6742.22558594
;IN;1952;p15p100;23637.5463628;34906.3609339;3.42412853241;3.42412853241;10194.2324219;0.9678393602;0.9678393602;6903.22998047
;IN;1952;p16p100;23836.7036105;35200.4631501;3.42259454727;3.42259454727;10284.7304688;0.9645115733;0.9645115733;6964.51269531
;IN;1952;p17p100;24039.9159177;35500.5536092;3.42161107063;3.42161107063;10375.3916016;0.9611540437;0.9611540437;7025.90527344
;IN;1952;p18p100;24247.3301312;35806.8491649;3.42342734337;3.42342734337;10459.3574219;0.9577667117;0.9577667117;7082.76464844
;IN;1952;p19p100;24458.9613369;36119.372095;3.40866756439;3.40866780281;10596.3310547;0.9543440938;0.9543440938;7175.51953125
;IN;1952;p20p100;24674.185038;36437.2001842;3.35236406326;3.35236430168;10869.1054688;0.95085603;0.95085603;7360.234375
;IN;1952;p21p100;24891.7906525;36758.5457251;3.25408267975;3.25408267975;11296.1318359;0.9472512603;0.9472512603;7649.40332031
;IN;1952;p22p100;25110.7498177;37081.8900999;3.12687349319;3.12687325478;11859.0957031;0.9434877038;0.9434877038;8030.62548828
;IN;1952;p23p100;25330.0755606;37405.7758123;2.99644947052;2.99644947052;12483.3662109;0.9395267963;0.9395267963;8453.36328125
;IN;1952;p24p100;25549.7465328;37730.1713365;2.88917994499;2.88917994499;13059.1279297;0.9353672266;0.9353672266;8843.25195312
;IN;1952;p25p100;25770.5668079;38056.264075;2.81760764122;2.81760764122;13506.5878906;0.9310375452;0.9310375452;9146.2578125
;IN;1952;p26p100;25993.5327412;38385.5253792;2.75332522392;2.75332522392;13941.515625;0.9265716076;0.9265716076;9440.77832031
;IN;1952;p27p100;26218.8765873;38718.2982273;2.71824979782;2.71825003624;14243.8330078;0.9219744802;0.9219744802;9645.49902344
;IN;1952;p28p100;26448.3128758;39057.1145229;2.70219707489;2.70219707489;14453.8369141;0.9173021913;0.9173021913;9787.70703125
;IN;1952;p29p100;26682.434534;39402.8498619;2.69455504417;2.69455528259;14623.1367188;0.9125691056;0.9125691056;9902.35253906
;IN;1952;p30p100;26921.6102919;39756.0487601;2.68816375732;2.68816351891;14789.296875;0.9077808857;0.9077808857;10014.8701172
;IN;1952;p31p100;27166.0724457;40117.0542573;2.68214821815;2.68214821815;14957.0615234;0.9029379487;0.9029379487;10128.4755859
;IN;1952;p32p100;27415.9923507;40486.1193993;2.67409777641;2.67409777641;15140.1044922;0.8980382681;0.8980382681;10252.4267578
;IN;1952;p33p100;27671.4851066;40863.4141582;2.6689555645;2.6689555645;15310.6386719;0.8930776715;0.8930776715;10367.9082031
;IN;1952;p34p100;27933.2352282;41249.9493796;2.67435526848;2.67435526848;15424.2597656;0.8880698681;0.8880698681;10444.8486328
;IN;1952;p35p100;28201.8151592;41646.5704108;2.67397809029;2.67397809029;15574.7617188;0.8830237389;0.8830237389;10546.7636719
;IN;1952;p36p100;28476.5416206;42052.2682304;2.65395784378;2.65395760536;15845.1162109;0.877908349;0.877908349;10729.8398438
;IN;1952;p37p100;28756.7920464;42466.1234742;2.62724804878;2.62724804878;16163.7285156;0.8726959229;0.8726959229;10945.5947266
;IN;1952;p38p100;29042.3407745;42887.8028996;2.59225296974;2.59225296974;16544.6054688;0.867371738;0.867371738;11203.5136719
;IN;1952;p39p100;29332.8195519;43316.7626949;2.55565834045;2.55565810204;16949.3574219;0.8619173169;0.8619173169;11477.5986328
;IN;1952;p40p100;29628.2748403;43753.0714715;2.51478052139;2.51478052139;17398.3652344;0.8563268781;0.8563268781;11781.6542969
;IN;1952;p41p100;29928.5045835;44196.4308464;2.47552847862;2.47552871704;17853.3300781;0.8505874872;0.8505874872;12089.7431641
;IN;1952;p42p100;30233.7386691;44647.1803023;2.43933272362;2.43933272362;18303.0292969;0.8446986675;0.8446986675;12394.265625
;IN;1952;p43p100;30544.3555368;45105.8786937;2.40161991119;2.40161991119;18781.4394531;0.838663578;0.838663578;12718.2304688
;IN;1952;p44p100;30860.3739809;45572.553775;2.37119460106;2.37119460106;19219.2382812;0.832474947;0.832474947;13014.6943359
;IN;1952;p45p100;31182.8040553;46048.6971268;2.34747815132;2.3474779129;19616.2421875;0.8261517286;0.8261517286;13283.5332031
;IN;1952;p46p100;31512.2998461;46535.27466;2.32726478577;2.32726478577;19995.6933594;0.8197016716;0.8197016716;13540.4873047
;IN;1952;p47p100;31849.4994341;47033.22865;2.31521129608;2.3152115345;20314.8730469;0.8131308556;0.8131308556;13756.6269531
;IN;1952;p48p100;32195.6444182;47544.3926079;2.30260396004;2.30260396004;20648.0976562;0.8064592481;0.8064592481;13982.2763672
;IN;1952;p49p100;32551.069328;48069.2605444;2.29515528679;2.29515528679;20943.7949219;0.7996821404;0.7996821404;14182.5126953
;IN;1952;p50p100;32916.7962084;48609.3417481;2.28817176819;2.28817176819;21243.7460938;0.7928107381;0.7928107381;14385.6318359
;IN;1952;p51p100;33293.3623587;49165.4296666;2.28098964691;2.28098964691;21554.4296875;0.7858428359;0.7858428359;14596.0166016
;IN;1952;p52p100;33681.5715476;49738.7112525;2.28212952614;2.28212928772;21794.8691406;0.7787813544;0.7787813544;14758.8349609
;IN;1952;p53p100;34083.0567981;50331.5980459;2.28051733971;2.28051733971;22070.2539062;0.77164644;0.77164644;14945.3183594
;IN;1952;p54p100;34497.8581332;50944.1491498;2.28771996498;2.28771996498;22268.5253906;0.7644197941;0.7644197941;15079.5810547
;IN;1952;p55p100;34927.3884849;51578.4510887;2.28427696228;2.28427696228;22579.7714844;0.7571128011;0.7571128011;15290.3476562
;IN;1952;p56p100;35371.5131653;52234.3049644;2.27603268623;2.27603268623;22949.7167969;0.7497013211;0.7497013211;15540.8632812
;IN;1952;p57p100;35830.2748786;52911.7738395;2.26859641075;2.26859617233;23323.5742188;0.7421651483;0.7421651483;15794.0283203
;IN;1952;p58p100;36304.6219055;53612.2580723;2.25966715813;2.25966715813;23725.7324219;0.7345023155;0.7345023155;16066.3583984
;IN;1952;p59p100;36795.1845986;54336.6885257;2.24618721008;2.2461874485;24190.6308594;0.7267027497;0.7267027497;16381.1738281
;IN;1952;p60p100;37302.0809708;55085.239473;2.23003578186;2.23003578186;24701.5058594;0.7187452912;0.7187452912;16727.1230469
;IN;1952;p61p100;37825.7806209;55858.6043869;2.21197342873;2.21197342873;25252.8359375;0.7106151581;0.7106151581;17100.46875
;IN;1952;p62p100;38366.9198038;56657.7228463;2.19273400307;2.19273400307;25838.8476562;0.7022997141;0.7022997141;17497.296875
;IN;1952;p63p100;38926.3573929;57483.8631786;2.17629337311;2.17629337311;26413.6542969;0.6937890649;0.6937890649;17886.5390625
;IN;1952;p64p100;39505.8932258;58339.6832643;2.16040086746;2.16040086746;27004.0996094;0.6850879788;0.6850879788;18286.3710938
;IN;1952;p65p100;40107.0272831;59227.3981757;2.14207291603;2.14207291603;27649.5722656;0.6761927009;0.6761927009;18723.4648438
;IN;1952;p66p100;40730.6208081;60148.2797395;2.12817263603;2.12817239761;28262.8789062;0.6670861244;0.6670861244;19138.7773438
;IN;1952;p67p100;41379.4242438;61106.3896278;2.1141936779;2.1141936779;28902.9277344;0.6577795148;0.6577795148;19572.2011719
;IN;1952;p68p100;42055.2790057;62104.4471205;2.10185289383;2.10185289383;29547.4765625;0.6482648253;0.6482648253;20008.6699219
;IN;1952;p69p100;42760.6912019;63146.153072;2.09232592583;2.09232568741;30179.8867188;0.6385403872;0.6385403872;20436.9179688
;IN;1952;p70p100;43498.8805472;64236.2621438;2.08337187767;2.08337187767;30832.8339844;0.6286100149;0.6286100149;20879.0761719
;IN;1952;p71p100;44272.7044338;65378.9939431;2.07918739319;2.07918715477;31444.4960938;0.618466258;0.618466258;21293.2734375
;IN;1952;p72p100;45086.9177111;66581.3701161;2.06981778145;2.06981778145;32167.7441406;0.6081217527;0.6081217527;21783.0371094
;IN;1952;p73p100;45943.093405;67845.7136031;2.0553355217;2.05533528328;33009.5585938;0.5975385904;0.5975385904;22353.0878906
;IN;1952;p74p100;46842.8466632;69174.4095473;2.05241250992;2.0524122715;33703.953125;0.5866763592;0.5866763592;22823.3105469
;IN;1952;p75p100;47795.3465666;70580.9982391;2.04594326019;2.04594326019;34498.0234375;0.5755825043;0.5755825043;23361.0332031
;IN;1952;p76p100;48804.2786358;72070.9222111;2.03702783585;2.03702783585;35380.4296875;0.5642234087;0.5642234087;23958.5722656
;IN;1952;p77p100;49874.3351817;73651.1107568;2.02800154686;2.02800154686;36317.0859375;0.5525695086;0.5525695086;24592.8476562
;IN;1952;p78p100;51012.1021748;75331.2896007;2.02362012863;2.02361989021;37226.0078125;0.5406022668;0.5406022668;25208.3398438
;IN;1952;p79p100;52228.1010156;77126.9960493;1.9970856905;1.9970856905;38619.7734375;0.5283302665;0.5283302665;26152.1582031
;IN;1952;p80p100;53517.3929757;79030.936916;1.9978441;1.9978441;39558.109375;0.5155928731;0.5155928731;26787.5722656
;IN;1952;p81p100;54907.8969078;81084.340911;1.98945879936;1.98945879936;40756.984375;0.5025396943;0.5025396943;27599.4140625
;IN;1952;p82p100;56406.4931812;83297.3685075;1.96248471737;1.96248459816;42444.8515625;0.4890841246;0.4890841246;28742.3867188
;IN;1952;p83p100;58012.4845359;85668.990038;1.96127939224;1.96127939224;43680.15625;0.4750642478;0.4750642478;29578.8984375
;IN;1952;p84p100;59765.3568588;88257.5156419;1.95401036739;1.95401024818;45167.375;0.460629195;0.460629195;30585.9980469
;IN;1952;p85p100;61682.9252215;91089.2534355;1.92620050907;1.92620050907;47289.6015625;0.44569543;0.44569543;32023.1074219
;IN;1952;p86p100;63769.2248861;94170.1624263;1.92284727097;1.92284715176;48974.3359375;0.4300521612;0.4300521612;33163.9570312
;IN;1952;p87p100;66086.0280052;97591.4636327;1.91758167744;1.91758167744;50892.9882812;0.41384238;0.41384238;34463.2148438
;IN;1952;p88p100;68677.2411482;101417.995365;1.91595828533;1.91595840454;52933.296875;0.3969867826;0.3969867826;35844.8515625
;IN;1952;p89p100;71609.5649193;105748.256652;1.90321624279;1.90321612358;55562.9257812;0.3794422448;0.3794422448;37625.5546875
;IN;1952;p91p100;78796.2029405;116361.007096;1.89363276958;1.89363265038;61448.5625;0.3416093588;0.3416093588;41611.1328125
;IN;1952;p92p100;83336.918183;123066.434247;1.90526080132;1.90526080132;64592.9609375;0.3211510777;0.3211510777;43740.4257812
;IN;1952;p93p100;88850.8791551;131209.086149;1.9271466732;1.9271466732;68084.640625;0.2995999455;0.2995999455;46104.8867188
;IN;1952;p94p100;95769.9862147;141426.764611;1.94757211208;1.94757211208;72616.9609375;0.2767978013;0.2767978013;49174.0390625
;IN;1952;p95p100;104761.608683;154704.996388;1.96265029907;1.96265017986;78824.5390625;0.2523214221;0.2523214221;53377.625
;IN;1952;p96p100;117057.404888;172862.612823;1.99330306053;1.99330294132;86721.6953125;0.2255489677;0.2255489677;58725.34375
;IN;1952;p97p100;135477.253866;200063.824274;2.0395014286;2.0395014286;98094.4765625;0.1957805753;0.1957805753;66426.65625
;IN;1952;p98p100;167521.478409;247384.61005;2.10125589371;2.10125589371;117731.789062;0.1613921672;0.1613921672;79724.453125
;IN;1952;p0p90;14739.0523388;21765.6550669;;;-1.01700050291e-12;0.6389899552;0.6389899552;-6.88682401037e-13
;IN;1952;p0p99;18491.7728242;27307.4238163;;;-1.01700050291e-12;0.881852001;0.881852001;-6.88682401037e-13
;IN;1952;p99.1p100;259587.645245;383341.819823;2.18090558052;2.18090558052;175771.859375;0.112540409;0.112540409;119027.453125
;IN;1952;p99.1p99.2;122046.038853;180229.496639;;;175771.859375;0.0058790296;0.0058790296;119027.453125
;IN;1952;p99.2p100;276780.346044;408730.860221;2.21020174026;2.21020174026;184929.203125;0.1066613793;0.1066613793;125228.546875
;IN;1952;p99.2p99.3;128769.575813;190158.370147;;;184929.203125;0.0062029064;0.0062029064;125228.546875
;IN;1952;p99.3p100;297924.741791;439955.50166;2.24798893929;2.24798870087;195710.71875;0.100458473;0.100458473;132529.453125
;IN;1952;p99.3p99.4;136782.138699;201990.79166;;;195710.71875;0.0065888762;0.0065888762;132529.453125
;IN;1952;p99.4p100;324781.842306;479616.28666;2.29786539078;2.29786539078;208722.53125;0.0938695967;0.0938695967;141340.671875
;IN;1952;p99.4p99.5;146772.476306;216743.859725;;;208722.53125;0.0070701167;0.0070701167;141340.671875
;IN;1952;p99.5p100;360383.715506;532190.772047;2.36057257652;2.36057257652;225449.859375;0.08679948;0.08679948;152667.921875
;IN;1952;p99.5p99.6;159680.986718;235806.291867;;;225449.859375;0.0076919273;0.0076919273;152667.921875
;IN;1952;p99.6p100;410559.397703;606286.892093;2.45203518867;2.45203542709;247258.625;0.0791075528;0.0791075528;167436.171875
;IN;1952;p99.6p99.7;177106.96536;261539.821514;;;247258.625;0.0085313469;0.0085313469;167436.171875
;IN;1952;p99.7p100;488376.875151;721202.582285;2.59605765343;2.59605765343;277806.84375;0.0705762058;0.0705762058;188122.515625
;IN;1952;p99.7p99.8;203230.46625;300117.275236;;;277806.84375;0.0097897314;0.0097897314;188122.515625
;IN;1952;p99.8p100;630950.079601;931745.23581;2.84994101524;2.84994077682;326934.9375;0.0607864745;0.0607864745;221390.578125
;IN;1952;p99.8p99.9;289410.217122;427381.816274;;;326934.9375;0.0139410608;0.0139410608;221390.578125
;IN;1952;p99.91p100;1034322.66282;1527419.11687;2.39630365372;2.39630365372;637406.3125;0.0448415391;0.0448415391;431632.53125
;IN;1952;p99.91p99.92;443922.80381;655555.757722;;;637406.3125;0.0021384023;0.0021384023;431632.53125
;IN;1952;p99.92p100;1108122.64519;1636402.03676;2.42731595039;2.42731618881;674161.0625;0.0427031368;0.0427031368;456521.78125
;IN;1952;p99.92p99.93;473813.697189;699696.646835;;;674161.0625;0.0022823885;0.0022823885;456521.78125
;IN;1952;p99.93p100;1198738.20919;1770217.09246;2.42214822769;2.42214798927;730845.9375;0.0404207483;0.0404207483;494907.0625
;IN;1952;p99.93p99.94;522988.938122;772315.381566;;;730845.9375;0.0025192685;0.0025192685;494907.0625
;IN;1952;p99.94p100;1311363.08771;1936534.04428;2.36765480042;2.36765480042;817912.3125;0.0379014798;0.0379014798;553865.8125
;IN;1952;p99.94p99.95;589715.440994;870852.656009;;;817912.3125;0.002840694;0.002840694;553865.8125
;IN;1952;p99.95p100;1455692.61705;2149670.32193;2.31884384155;2.31884384155;927044.0;0.0350607857;0.0350607857;627766.5625
;IN;1952;p99.95p99.96;670496.100431;990144.176859;;;927044.0;0.0032298192;0.0032298192;627766.5625
;IN;1952;p99.96p100;1651991.7462;2439551.8582;2.30524492264;2.30524492264;1058261.5;0.0318309665;0.0318309665;716623.0625
;IN;1952;p99.96p99.97;778809.311177;1150093.94365;;;1058261.5;0.0037515704;0.0037515704;716623.0625
;IN;1952;p99.97p100;1943052.55788;2869371.16305;2.27181720734;2.27181720734;1263029.0;0.0280793961;0.0280793961;855285.5625
;IN;1952;p99.97p99.98;968452.649154;1430146.64889;;;1263029.0;0.0046650935;0.0046650935;855285.5625
;IN;1952;p99.98p100;2430352.51224;3588983.42013;2.19927692413;2.19927692413;1631892.375;0.0234143026;0.0234143026;1105068.875
;IN;1952;p99.98p99.99;1323352.00325;1954238.4797;;;1631892.375;0.0063746646;0.0063746646;1105068.875
;IN;1952;p99.991p100;3744883.60036;5530195.75734;2.18120193481;2.18120193481;2535389.25;0.0162353925;0.0162353925;1716889.875
;IN;1952;p99.991p99.992;1769758.04575;2613461.31964;;;2535389.25;0.0008525029;0.0008525029;1716889.875
;IN;1952;p99.992p100;3991774.29469;5894787.56205;2.18614196777;2.18614220619;2696433.75;0.0153828897;0.0153828897;1825944.625
;IN;1952;p99.992p99.993;1890292.9515;2791459.27512;;;2696433.75;0.0009105653;0.0009105653;1825944.625
;IN;1952;p99.993p100;4291985.91515;6338120.17447;2.19011378288;2.1901140213;2893968.25;0.0144723244;0.0144723244;1959709.0
;IN;1952;p99.993p99.994;2041916.67549;3015367.13571;;;2893968.25;0.0009836033;0.0009836033;1959709.0
;IN;1952;p99.994p100;4666997.45509;6891912.3476;2.18969154358;2.18969130516;3147435.5;0.0134887211;0.0134887211;2131349.25
;IN;1952;p99.994p99.995;2234301.93896;3299468.9347;;;3147435.5;0.0010762764;0.0010762764;2131349.25
;IN;1952;p99.995p100;5153536.55832;7610401.03018;2.19886755943;2.19886755943;3461054.75;0.0124124447;0.0124124447;2343723.0
;IN;1952;p99.995p99.996;2469177.18742;3646317.12576;;;3461054.75;0.0011894172;0.0011894172;2343723.0
;IN;1952;p99.996p100;5824626.40104;8601422.00628;2.23374938965;2.23374938965;3850665.75;0.0112230275;0.0112230275;2607556.0
;IN;1952;p99.996p99.997;2806312.99399;4144176.92758;;;3850665.75;0.0013518175;0.0013518175;2607556.0
;IN;1952;p99.997p100;6830730.87006;10087170.3658;2.23549509048;2.2354953289;4512275.5;0.00987121;0.00987121;3055578.5
;IN;1952;p99.997p99.998;3400909.84346;5022238.12391;;;4512275.5;0.0016382383;0.0016382383;3055578.5
;IN;1952;p99.998p100;8545641.38336;12619636.4868;2.23802614212;2.23802614212;5638735.0;0.0082329717;0.0082329717;3818383.25
;IN;1952;p99.998p99.999;4599315.15151;6791963.61005;;;5638735.0;0.0022155172;0.0022155172;3818383.25
;IN;1952;p99.99p99.991;1669577.80906;2465521.7896;;;2399113.75;0.0008042455;0.0008042455;1624608.375
;IN;1952;p99.9p99.91;415995.455444;614314.50167;;;587990.9375;0.0020038746;0.0020038746;398169.90625
;IN;1952;p99p99.1;116411.074544;171908.155032;;;168224.078125;0.0056075901;0.0056075901;113916.328125
;IN;1951;p0p100;20401.6178053;30128.6039796;-5.94398079772e+15;-5.94398079772e+15;-5.06875878076e-12;1.0;1.0;-3.43231562963e-12
;IN;1951;p0p50;8386.33715898;12384.7350496;;;-5.06875878076e-12;0.2055311799;0.2055311799;-3.43231562963e-12
;IN;1951;p50p90;21812.8435767;32212.6672533;;;20458.171875;0.4276688993;0.4276688993;13853.2734375
;IN;1951;p90p99;56987.8311124;84158.2178252;;;56878.921875;0.2514629662;0.2514629662;38515.625
;IN;1951;p99p100;235306.001043;347494.075574;2.00943565369;2.00943565369;172931.1875;0.1153369322;0.1153369322;117100.546875
;IN;1951;p99.9p100;904249.451252;1335373.19812;2.44239997864;2.44239997864;546746.3125;0.0443224385;0.0443224385;370229.875
;IN;1951;p99.99p100;3289133.30173;4857310.6128;2.17735719681;2.17735695839;2230828.75;0.0161219239;0.0161219239;1510608.125
;IN;1951;p99.999p100;11615393.9982;17153326.2302;2.17697167397;2.17697143555;7879444.5;0.0056933691;0.0056933691;5335574.5
;IN;1951;p0p10;3690.32630934;5449.78251189;;;-5.06875878076e-12;0.0180884004;0.0180884004;-3.43231562963e-12
;IN;1951;p10p20;6302.45857104;9307.31475303;;;7837.87158203;0.0308919549;0.0308919549;5307.42382812
;IN;1951;p20p30;8533.03672873;12601.3773416;;;11575.7050781;0.0418252945;0.0418252945;7838.50195312
;IN;1951;p30p40;10635.1290317;15705.6952016;;;13824.9550781;0.0521288514;0.0521288514;9361.58398438
